#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200792_at   522.9   A   0.111572
212952_at   23.5    A   0.888428
213377_x_at 27775.5 P   0.000244
206074_s_at 190.8   A   0.432373
200766_at   271.1   P   0.010742
219939_s_at 1814.3  P   0.001953
200613_at   1501.7  M   0.056152
213746_s_at 281.1   A   0.334473
202026_at   516.2   P   0.010742
219612_s_at 100.7   A   0.366211
200633_at   59842.4 P   0.000244
208628_s_at 15086.1 P   0.000244
217915_s_at 880.4   P   0.010742
217057_s_at 385.9   A   0.27417
200602_at   126.3   A   0.149658
200779_at   1867.8  P   0.01416
200674_s_at 13224.8 P   0.000244
201506_at   356.6   A   0.27417
217732_s_at 20325.6 P   0.000244
200832_s_at 246.3   A   0.246094
200807_s_at 808.4   P   0.000244
208677_s_at 1463.9  A   0.080566
203113_s_at 998.6   P   0.018555
201348_at   510.6   P   0.030273
200677_at   3685.3  P   0.008057
200904_at   4824.9  P   0.000244
213587_s_at 359.5   A   0.111572
200599_s_at 424 P   0.010742
208610_s_at 459.2   P   0.005859
212426_s_at 631 M   0.056152
208612_at   262.7   A   0.129639
201619_at   384.9   A   0.334473
209125_at   358.1   A   0.246094
213655_at   959.1   P   0.030273
203455_s_at 4956.2  P   0.000244
203411_s_at 727.8   A   0.095215
200909_s_at 9059.5  P   0.000244
200705_s_at 3648.1  P   0.000244
212137_at   467.8   A   0.111572
217757_at   36.9    A   0.665527
217767_at   190.7   A   0.432373
200665_s_at 373.9   A   0.19458
201322_at   1594.1  P   0.010742
200634_at   4368.6  P   0.000244
201894_s_at 902.3   P   0.01416
213798_s_at 4994.1  P   0.000244
200741_s_at 23602.3 P   0.000244
201397_at   578.4   A   0.219482
206621_s_at 816.7   A   0.246094
211926_s_at 1026    A   0.067627
208852_s_at 630.7   A   0.129639
208640_at   3325.9  P   0.000732
210978_s_at 3994.1  P   0.00293
208673_s_at 326.2   P   0.001221
211941_s_at 732.8   A   0.19458
208619_at   693.1   M   0.056152
220605_s_at 1140.7  A   0.171387
211939_x_at 5672.6  P   0.000244
218831_s_at 1463.5  A   0.398926
201318_s_at 5243.2  P   0.000244
210986_s_at 244 P   0.023926
208697_s_at 2497.3  P   0.00293
217807_s_at 4182.8  P   0.000244
208624_s_at 604.2   A   0.095215
200923_at   125.3   A   0.5
213803_at   951.8   P   0.023926
218084_x_at 1654.2  P   0.010742
200845_s_at 274.5   P   0.000244
221474_at   5668.8  P   0.005859
200764_s_at 409.4   A   0.111572
201149_s_at 728.5   A   0.095215
