#ID_REF = 
#VALUE = Signal normalized to TGT 500
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
204848_x_at 21649.2 P   0.00293
203807_x_at 16.2    A   0.962402
208668_x_at 4459.4  P   0.008057
201596_x_at 57.5    A   0.870361
208825_x_at 28955.7 P   0.001221
210949_s_at 548.2   P   0.030273
200650_s_at 1820.3  P   0.000244
214157_at   571.9   P   0.000244
202493_x_at 13.1    A   0.919434
211999_at   9332.5  P   0.000244
221476_s_at 1992.6  P   0.00293
200912_s_at 2177.1  P   0.000244
200937_s_at 1757.5  P   0.00415
208703_s_at 638.9   P   0.008057
200763_s_at 17744.4 P   0.000244
200886_s_at 2521.3  P   0.00293
208849_at   327.7   P   0.037598
202028_s_at 2105.6  P   0.000244
208680_at   655.9   P   0.010742
201841_s_at 242.3   A   0.601074
200823_x_at 1290.4  P   0.008057
211161_s_at 48.7    A   0.366211
208977_x_at 912.8   A   0.080566
200962_at   593.7   A   0.334473
214665_s_at 1526.8  P   0.000732
204805_s_at 261.9   A   0.219482
208894_at   1719.1  P   0.005859
200679_x_at 198.4   P   0.018555
200858_s_at 3640.6  P   0.000244
203034_s_at 21103.6 P   0.000732
211509_s_at 3161    P   0.000244
200640_at   4345.2  P   0.001221
209008_x_at 332.8   A   0.171387
200910_at   567.8   P   0.008057
201010_s_at 20903.6 P   0.000244
208718_at   9930.1  P   0.000244
200738_s_at 3366.8  P   0.000732
200809_x_at 15303.3 P   0.000244
208645_s_at 19255.2 P   0.000244
200643_at   108.4   A   0.665527
214365_at   199.6   A   0.665527
214414_x_at 85051.5 P   0.000244
217232_x_at 101863.2    P   0.000244
200750_s_at 110.2   A   0.432373
208754_s_at 72.5    A   0.334473
220948_s_at 339.7   A   0.219482
216526_x_at 58494   P   0.000244
200783_s_at 183.4   A   0.398926
208655_at   4113.3  P   0.000244
211985_s_at 287.3   P   0.01416
200656_s_at 624.7   P   0.018555
203673_at   521.3   A   0.246094
201258_at   3936.4  P   0.000244
201131_s_at 33.1    A   0.850342
200888_s_at 3037.2  P   0.001953
200792_at   490.9   A   0.171387
212952_at   43.5    A   0.665527
213377_x_at 41761.1 P   0.000244
206074_s_at 352 A   0.5
200766_at   266.8   P   0.010742
219939_s_at 1420.8  P   0.001221
200613_at   1745.3  P   0.030273
213746_s_at 687.7   A   0.149658
202026_at   622.7   P   0.005859
219612_s_at 195.2   A   0.246094
200633_at   74295.4 P   0.000244
208628_s_at 31796.7 P   0.000244
217915_s_at 573.5   P   0.023926
217057_s_at 367.6   A   0.303711
200602_at   132.5   A   0.171387
200779_at   2369.6  P   0.010742
200674_s_at 13145   P   0.000244
201506_at   409.3   A   0.27417
217732_s_at 25972.1 P   0.000244
200832_s_at 104.1   A   0.303711
200807_s_at 795.1   P   0.000732
208677_s_at 2027.3  P   0.037598
203113_s_at 949.6   P   0.018555
201348_at   621.2   P   0.000732
200677_at   3351.1  P   0.001953
200904_at   6563.4  P   0.000244
213587_s_at 528.5   A   0.19458
200599_s_at 522.1   P   0.010742
208610_s_at 1321.3  P   0.000244
212426_s_at 200.7   A   0.246094
208612_at   588.9   P   0.037598
201619_at   731.1   A   0.095215
209125_at   232.4   A   0.5
213655_at   1002.3  P   0.023926
203455_s_at 6588    P   0.000244
203411_s_at 539.5   A   0.095215
200909_s_at 8788.9  P   0.000244
200705_s_at 2822.2  P   0.000732
212137_at   588.1   A   0.149658
217757_at   44.6    A   0.601074
217767_at   161.4   A   0.533936
200665_s_at 301.9   A   0.19458
201322_at   1639.7  P   0.01416
200634_at   4181.6  P   0.000244
201894_s_at 1170.5  P   0.008057
213798_s_at 6063.3  P   0.000244
200741_s_at 17081.4 P   0.000244
201397_at   772.8   A   0.171387
206621_s_at 914.1   M   0.056152
211926_s_at 1596.1  P   0.010742
208852_s_at 457.9   M   0.056152
208640_at   2065.9  P   0.000732
210978_s_at 4838.1  P   0.00415
208673_s_at 189.2   P   0.010742
211941_s_at 1089    A   0.149658
208619_at   603.2   A   0.149658
220605_s_at 1412.3  A   0.080566
211939_x_at 8766.2  P   0.000244
218831_s_at 1611.2  A   0.219482
201318_s_at 6783.6  P   0.000732
210986_s_at 125.5   P   0.046143
208697_s_at 1216.4  P   0.018555
217807_s_at 2820.3  P   0.000244
208624_s_at 596.6   P   0.046143
200923_at   284 A   0.366211
213803_at   648.8   A   0.080566
218084_x_at 2265.6  P   0.018555
200845_s_at 288 P   0.010742
221474_at   3673.1  P   0.008057
200764_s_at 554.5   P   0.046143
201149_s_at 759.1   A   0.111572
203872_at   113.2   A   0.5
217756_x_at 11702.1 P   0.00293
222018_at   71.4    A   0.696289
204102_s_at 13724.8 P   0.000244
208650_s_at 261.7   A   0.19458
