#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
220983_s_at 37.3    A   0.888428
221414_s_at 510.7   A   0.219482
221254_s_at 20.1    A   0.998047
208508_s_at 115.7   A   0.432373
221001_at   792.4   A   0.432373
221005_s_at 50.9    A   0.932373
220975_s_at 108.4   A   0.567627
221429_x_at 34  A   0.334473
221437_s_at 47  A   0.850342
221236_s_at 499.5   A   0.095215
221018_s_at 358.2   A   0.19458
208109_s_at 21.8    A   0.904785
221008_s_at 93.1    A   0.601074
221276_s_at 290.3   A   0.303711
208093_s_at 1777.6  P   0.001221
208509_s_at 32  A   0.665527
221034_s_at 662.5   A   0.27417
208131_s_at 765.5   A   0.366211
221260_s_at 134.7   A   0.27417
221262_s_at 131.4   A   0.398926
208107_s_at 54.5    A   0.904785
208027_s_at 348.8   A   0.366211
208153_s_at 347.8   A   0.149658
208022_s_at 53.6    A   0.665527
221438_s_at 15  A   0.991943
221015_s_at 189.9   A   0.533936
208098_at   200.7   A   0.466064
220993_s_at 177 A   0.19458
208126_s_at 173.7   A   0.904785
221419_s_at 2502.2  P   0.005859
221249_s_at 4344.3  P   0.000732
208604_s_at 75.7    A   0.72583
221227_x_at 341.7   A   0.5
221230_s_at 1219.2  P   0.001953
221248_s_at 97.9    A   0.5
208075_s_at 62.3    A   0.80542
208152_s_at 428.7   P   0.010742
221029_s_at 30.8    A   0.981445
221272_s_at 55.8    A   0.828613
208609_s_at 159.7   A   0.753906
221228_s_at 105.5   A   0.888428
220978_at   55.2    A   0.466064
208151_x_at 209.7   A   0.5
221270_s_at 143.5   A   0.780518
208021_s_at 457 A   0.095215
208121_s_at 276.4   P   0.037598
221259_s_at 51.9    A   0.904785
208146_s_at 128 A   0.601074
221033_s_at 464.2   A   0.149658
221261_x_at 104.9   A   0.696289
221035_s_at 103.4   A   0.828613
204892_x_at 31983.8 P   0.000732
212581_x_at 5255.5  P   0.030273
211983_x_at 4898.4  P   0.001953
212400_at   953.7   A   0.219482
217464_at   36  A   0.932373
212737_at   1039.9  A   0.398926
213461_at   24.1    A   0.696289
214167_s_at 1318.5  A   0.080566
214096_s_at 1187.8  A   0.601074
211298_s_at 68.5    A   0.398926
221864_at   757.6   A   0.111572
212320_at   1479.8  P   0.005859
200716_x_at 5617.4  P   0.000732
200748_s_at 13363.7 P   0.001221
201257_x_at 18322.2 P   0.000244
201231_s_at 764.1   A   0.219482
207243_s_at 5688.7  P   0.001953
200651_at   3068.1  P   0.00293
216326_s_at 784.2   A   0.19458
216520_s_at 13375.9 P   0.000244
212955_s_at 469.3   A   0.432373
200933_x_at 12873.3 P   0.000244
208692_at   8975.7  P   0.001221
221989_at   238.5   A   0.432373
201590_x_at 1231.2  P   0.030273
201891_s_at 48241   P   0.000244
201251_at   125.5   A   0.696289
209118_s_at 5645.7  P   0.000244
209619_at   1077    P   0.030273
213738_s_at 973.4   A   0.149658
200966_x_at 1944.5  A   0.067627
201426_s_at 2175.1  P   0.005859
221919_at   232.9   A   0.095215
213011_s_at 1382.3  A   0.171387
212191_x_at 7153.1  P   0.030273
217740_x_at 11121.5 P   0.000244
213414_s_at 4191.5  P   0.000732
209458_x_at 159872.5    P   0.000244
214359_s_at 224.2   A   0.466064
200773_x_at 3203.5  P   0.008057
215157_x_at 3776.4  P   0.000244
211969_at   771.5   P   0.001953
209140_x_at 57470   P   0.001221
210338_s_at 953.7   P   0.005859
201293_x_at 3761.3  P   0.005859
201429_s_at 22801.8 P   0.000732
208792_s_at 469.8   A   0.111572
213883_s_at 198.6   P   0.018555
204419_x_at 63783.1 P   0.000732
200804_at   1694.1  P   0.001221
212082_s_at 7687.9  P   0.000732
201530_x_at 1636    P   0.008057
200866_s_at 2988    P   0.010742
202310_s_at 52.9    A   0.432373
201030_x_at 2398.6  P   0.00293
200717_x_at 15154.2 P   0.000244
201471_s_at 2501.6  A   0.080566
216247_at   589.7   P   0.023926
201049_s_at 8751.2  P   0.000732
200936_at   4828.2  P   0.00293
200839_s_at 8410.2  P   0.00293
208905_at   324.6   P   0.001953
202403_s_at 298.7   A   0.219482
201665_x_at 7401.8  P   0.000732
217747_s_at 5591.6  P   0.000244
211429_s_at 6657.3  P   0.000244
201273_s_at 476.7   P   0.01416
218679_s_at 1377.2  M   0.056152
200817_x_at 14091.1 P   0.000244
215313_x_at 38466.8 P   0.000244
200869_at   5713    P   0.000244
202409_at   419 A   0.129639
204848_x_at 52658.5 P   0.001221
203807_x_at 26.8    A   0.943848
208668_x_at 4130.1  P   0.01416
201596_x_at 47.3    A   0.962402
208825_x_at 25100.3 P   0.001953
210949_s_at 1096.7  A   0.080566
200650_s_at 1373.1  P   0.000732
214157_at   1284.4  P   0.00415
202493_x_at 30  A   0.870361
211999_at   5106.3  P   0.000244
221476_s_at 1656.5  P   0.01416
200912_s_at 1496.2  P   0.000244
200937_s_at 1360.9  P   0.008057
208703_s_at 426.6   A   0.171387
200763_s_at 16194.4 P   0.000244
200886_s_at 1195.3  A   0.067627
208849_at   229.7   A   0.334473
202028_s_at 3718.3  P   0.000732
208680_at   883.6   P   0.018555
201841_s_at 68  A   0.919434
200823_x_at 926.9   M   0.056152
211161_s_at 17.1    A   0.633789
208977_x_at 825 A   0.129639
200962_at   707 P   0.037598
214665_s_at 658.7   P   0.018555
204805_s_at 112.8   A   0.466064
208894_at   654.1   A   0.334473
200679_x_at 162 P   0.046143
200858_s_at 2121.3  P   0.000732
203034_s_at 18581.5 P   0.001221
211509_s_at 2033.1  P   0.000244
200640_at   3007.8  P   0.00415
209008_x_at 358.6   A   0.27417
200910_at   271.7   A   0.334473
201010_s_at 17080.5 P   0.000244
208718_at   9776.8  P   0.000732
200738_s_at 1438.7  P   0.000244
200809_x_at 16924.7 P   0.000732
208645_s_at 18545.6 P   0.000244
200643_at   66.1    A   0.850342
214365_at   152.2   A   0.828613
214414_x_at 106953.6    P   0.000244
217232_x_at 117929.8    P   0.000244
200750_s_at 26.3    A   0.888428
208754_s_at 61.9    A   0.753906
220948_s_at 125.8   A   0.533936
216526_x_at 54162.1 P   0.000244
200783_s_at 213.7   A   0.567627
208655_at   3125.6  P   0.000732
211985_s_at 366 A   0.334473
200656_s_at 442.1   A   0.080566
203673_at   284 A   0.466064
201258_at   2764.4  P   0.000732
201131_s_at 34.1    A   0.888428
200888_s_at 2137    P   0.01416
200792_at   377.6   A   0.366211
212952_at   63.5    A   0.80542
213377_x_at 45602.9 P   0.000244
206074_s_at 104.4   A   0.932373
200766_at   426.3   P   0.018555
219939_s_at 1702.6  P   0.005859
200613_at   3024.4  P   0.023926
213746_s_at 475.8   A   0.149658
202026_at   424.8   P   0.046143
219612_s_at 325.7   A   0.246094
200633_at   110966.3    P   0.000244
208628_s_at 35428.9 P   0.000244
217915_s_at 731 A   0.080566
217057_s_at 715.4   A   0.19458
200602_at   187.2   A   0.149658
200779_at   1917.6  P   0.01416
200674_s_at 15718.2 P   0.000244
201506_at   78.8    A   0.850342
217732_s_at 13214.3 P   0.000244
200832_s_at 571.5   A   0.111572
200807_s_at 858.3   P   0.001221
208677_s_at 3056    M   0.056152
203113_s_at 979.5   A   0.067627
201348_at   598.5   P   0.010742
200677_at   2418.8  P   0.030273
200904_at   4034.2  P   0.000244
213587_s_at 665 A   0.219482
200599_s_at 372.5   P   0.037598
208610_s_at 953.7   P   0.018555
212426_s_at 459.8   A   0.149658
208612_at   358.1   A   0.149658
201619_at   675.4   A   0.303711
209125_at   341.6   A   0.334473
213655_at   846.2   P   0.046143
203455_s_at 2095    P   0.000732
203411_s_at 576.4   A   0.19458
200909_s_at 9337.6  P   0.000244
200705_s_at 2732.7  P   0.001953
212137_at   550.1   A   0.067627
217757_at   69.7    A   0.633789
217767_at   110.7   A   0.80542
200665_s_at 283.1   A   0.366211
201322_at   1667.5  P   0.046143
200634_at   2880.3  P   0.000244
201894_s_at 728.5   P   0.023926
213798_s_at 2806.6  P   0.000244
200741_s_at 13999.9 P   0.000244
201397_at   1360    A   0.129639
206621_s_at 413.6   A   0.334473
211926_s_at 1452.5  A   0.129639
208852_s_at 720.4   A   0.095215
208640_at   1783    P   0.001953
210978_s_at 2577.7  M   0.056152
208673_s_at 190 A   0.27417
211941_s_at 824.4   A   0.27417
208619_at   1256.9  M   0.056152
220605_s_at 1338.3  A   0.171387
211939_x_at 8340.6  P   0.000244
218831_s_at 852.4   A   0.432373
201318_s_at 3948.8  P   0.001221
210986_s_at 246.5   A   0.19458
208697_s_at 1234.3  P   0.030273
217807_s_at 2941.2  P   0.000732
208624_s_at 649.7   A   0.080566
200923_at   86.8    A   0.601074
213803_at   654.3   A   0.095215
218084_x_at 1650.9  P   0.008057
200845_s_at 551.7   P   0.010742
221474_at   2789.3  P   0.030273
200764_s_at 629.7   A   0.19458
201149_s_at 1020.3  A   0.111572
203872_at   282.7   A   0.27417
217756_x_at 16622.9 P   0.00293
222018_at   52  A   0.932373
204102_s_at 16518.6 P   0.000732
208650_s_at 134.5   A   0.5
209875_s_at 334.7   A   0.219482
209096_at   365 A   0.19458
200673_at   777.5   P   0.00293
204810_s_at 94.6    A   0.601074
200984_s_at 510.9   P   0.01416
212099_at   1184.7  P   0.01416
208821_at   496.8   A   0.27417
204582_s_at 86.2    A   0.850342
203258_at   130 A   0.533936
217733_s_at 3953.3  P   0.005859
200593_s_at 571.5   A   0.111572
200990_at   580.2   A   0.219482
208659_at   3345.1  P   0.000732
200971_s_at 1507.2  P   0.008057
200812_at   209.7   A   0.633789
215001_s_at 8299.4  P   0.000732
201650_at   15.6    A   0.976074
208642_s_at 1272.2  P   0.00415
218617_at   502.5   A   0.19458
213782_s_at 20.5    A   0.953857
203382_s_at 29.4    A   0.962402
200819_s_at 13435.6 P   0.000244
213879_at   41.6    A   0.780518
201088_at   267.7   A   0.171387
200631_s_at 711.3   A   0.19458
200978_at   486.7   A   0.601074
212266_s_at 1576.1  P   0.01416
200853_at   575 P   0.037598
200718_s_at 4315.5  P   0.000244
221962_s_at 349.5   A   0.665527
211284_s_at 73  A   0.828613
221494_x_at 2217    A   0.080566
204083_s_at 33.3    A   0.870361
213606_s_at 12.4    A   0.981445
201002_s_at 684.7   A   0.095215
209277_at   30.6    A   0.533936
208638_at   230.5   A   0.601074
201327_s_at 95  A   0.567627
201097_s_at 783.3   P   0.008057
205292_s_at 541.5   P   0.046143
201427_s_at 68.6    A   0.850342
202995_s_at 581.3   P   0.008057
200623_s_at 100 A   0.72583
212016_s_at 499.6   P   0.030273
208623_s_at 79.7    A   0.5
208666_s_at 289 P   0.01416
210095_s_at 866.3   P   0.030273
207323_s_at 375.4   A   0.171387
200745_s_at 1944.1  A   0.067627
200757_s_at 175.1   A   0.533936
200824_at   687.8   P   0.046143
200781_s_at 9171.1  P   0.000732
215111_s_at 529.7   A   0.149658
205547_s_at 307.5   A   0.27417
201586_s_at 231 A   0.366211
220189_s_at 85.9    A   0.633789
200627_at   1362.2  P   0.005859
201250_s_at 1269.7  A   0.067627
200847_s_at 1477.5  P   0.000244
200662_s_at 396.2   M   0.056152
201744_s_at 28.9    A   0.828613
201209_at   334.9   P   0.030273
208631_s_at 143.3   A   0.466064
208700_s_at 2002.3  P   0.008057
200862_at   532.8   A   0.246094
209248_at   484.4   P   0.010742
212595_s_at 2338    P   0.000244
217720_at   2409.6  P   0.018555
204031_s_at 13971.9 P   0.000244
201012_at   992.9   P   0.000244
208706_s_at 586.1   P   0.037598
200663_at   2203.7  P   0.023926
200614_at   1235.2  P   0.046143
200709_at   2389.8  P   0.001221
200670_at   484.5   P   0.001221
208783_s_at 1375.9  P   0.001953
213762_x_at 167.4   A   0.398926
200837_at   691.9   A   0.334473
210891_s_at 1039.7  P   0.000244
213282_at   420.2   A   0.398926
208649_s_at 714.3   A   0.398926
209067_s_at 968.9   P   0.046143
217982_s_at 1739.7  P   0.000244
200968_s_at 297.4   A   0.567627
214911_s_at 723 A   0.129639
201784_s_at 116.9   A   0.398926
211937_at   1672.6  A   0.19458
200610_s_at 898.8   P   0.037598
211375_s_at 181.9   A   0.5
200976_s_at 1620.2  P   0.023926
201094_at   9214.8  P   0.000732
201417_at   258 A   0.27417
208654_s_at 481.4   P   0.023926
214132_at   310.4   A   0.080566
201368_at   2216.1  P   0.00293
200601_at   759.7   A   0.149658
201042_at   946.4   A   0.111572
213671_s_at 290.7   A   0.303711
208689_s_at 1095.8  P   0.023926
220954_s_at 92.7    A   0.601074
200986_at   390.5   A   0.219482
201288_at   5773.1  P   0.00293
211575_s_at 296.1   A   0.111572
200657_at   1082.5  A   0.19458
200699_at   388.2   A   0.171387
214882_s_at 324 P   0.030273
202182_at   596.3   A   0.366211
208691_at   254.4   A   0.149658
201360_at   599.5   A   0.111572
200899_s_at 1306.2  P   0.01416
200695_at   2600.3  A   0.27417
213923_at   608.9   P   0.037598
200929_at   90.9    A   0.466064
200642_at   935.1   A   0.149658
200924_s_at 209.1   A   0.5
218813_s_at 364.9   A   0.219482
201271_s_at 305.8   A   0.27417
208695_s_at 14315.7 P   0.000244
213151_s_at 1354.9  P   0.001221
201387_s_at 324 A   0.5
209186_at   790.8   M   0.056152
203973_s_at 2552.2  P   0.008057
200921_s_at 2841.7  P   0.000244
205157_s_at 313.4   A   0.533936
204179_at   103.2   A   0.398926
208756_at   1132.7  A   0.219482
217729_s_at 66.4    A   0.696289
201339_s_at 56.4    A   0.80542
200877_at   348.1   A   0.432373
200682_s_at 1257.8  P   0.030273
215399_s_at 844.3   P   0.01416
201272_at   554.1   A   0.27417
208675_s_at 511.1   A   0.129639
201531_at   1965.5  P   0.037598
200896_x_at 4404.5  P   0.00293
200603_at   2358.8  P   0.000244
208616_s_at 3013.4  P   0.000732
212037_at   556.2   P   0.010742
200608_s_at 382.3   P   0.00293
200944_s_at 1234.5  P   0.005859
210950_s_at 2507.1  P   0.000244
200660_at   3041.4  P   0.046143
200668_s_at 5523.9  P   0.000244
200959_at   842.2   A   0.27417
201105_at   144.7   A   0.601074
200797_s_at 10631.5 P   0.000244
200691_s_at 445.6   P   0.001953
212600_s_at 752.2   P   0.00415
39729_at    1033.5  P   0.004863
217773_s_at 411.3   A   0.432373
218013_x_at 528.3   A   0.080566
201669_s_at 877.2   P   0.01416
200735_x_at 4540.9  P   0.000732
201496_x_at 83.9    A   0.753906
200696_s_at 1584.4  A   0.129639
210297_s_at 181 A   0.19458
208794_s_at 279.4   A   0.601074
211954_s_at 344.3   A   0.095215
200958_s_at 9497.9  P   0.000244
200708_at   336.4   A   0.567627
200830_at   1135.9  A   0.067627
208658_at   934.1   P   0.046143
200620_at   1817.2  P   0.010742
208712_at   191.9   A   0.398926
222021_x_at 1603.7  P   0.00415
217728_at   2284.3  P   0.008057
200974_at   494.9   A   0.129639
200926_at   11581.9 P   0.000732
212203_x_at 13971.3 M   0.056152
200720_s_at 586.4   A   0.398926
200902_at   220.9   P   0.001953
208310_s_at 224 A   0.19458
200768_s_at 448.1   A   0.111572
209701_at   811.1   P   0.037598
204450_x_at 29.8    A   0.780518
208682_s_at 54.6    A   0.753906
200793_s_at 44.8    A   0.870361
200901_s_at 964.3   A   0.303711
210715_s_at 63  A   0.753906
200626_s_at 155.5   A   0.246094
200728_at   2969.3  P   0.000244
