#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detecion call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
208030_s_at 975.5   A   0.095215
221421_s_at 731.5   P   0.037598
220988_s_at 347.7   P   0.005859
221447_s_at 572.1   A   0.366211
208087_s_at 198 A   0.171387
220970_s_at 211 A   0.665527
220983_s_at 72.4    A   0.533936
221414_s_at 325.1   A   0.246094
221254_s_at 25.9    A   0.998047
208508_s_at 63.5    A   0.567627
221001_at   269.4   A   0.633789
221005_s_at 48.2    A   0.962402
220975_s_at 307.7   A   0.366211
221429_x_at 50.9    A   0.466064
221437_s_at 34.7    A   0.80542
221236_s_at 111.5   A   0.27417
221018_s_at 157.2   A   0.334473
208109_s_at 9.3 A   0.850342
221008_s_at 179.9   A   0.303711
221276_s_at 165.9   A   0.219482
208093_s_at 1782.7  P   0.00415
208509_s_at 284.1   A   0.366211
221034_s_at 123.9   A   0.601074
208131_s_at 515.8   A   0.366211
221260_s_at 295.8   A   0.27417
221262_s_at 35.4    A   0.432373
208107_s_at 36.7    A   0.753906
208027_s_at 136 A   0.334473
208153_s_at 243 A   0.111572
208022_s_at 35.4    A   0.601074
221438_s_at 14.8    A   0.962402
221015_s_at 287.9   A   0.366211
208098_at   249.3   A   0.27417
220993_s_at 264 A   0.111572
208126_s_at 343.2   A   0.5
221419_s_at 2883.5  P   0.001953
221249_s_at 3126.3  P   0.001221
208604_s_at 130.9   A   0.334473
221227_x_at 749.2   A   0.171387
221230_s_at 1030.1  P   0.000732
221248_s_at 71.9    A   0.567627
208075_s_at 128.9   A   0.601074
208152_s_at 635.5   P   0.00415
221029_s_at 27  A   0.976074
221272_s_at 230.7   A   0.432373
208609_s_at 83.3    A   0.828613
221228_s_at 90.1    A   0.753906
220978_at   62.8    A   0.398926
208151_x_at 190.1   A   0.466064
221270_s_at 256 A   0.567627
208021_s_at 147.7   A   0.149658
208121_s_at 375.7   P   0.018555
221259_s_at 45.4    A   0.80542
208146_s_at 490.6   A   0.171387
221033_s_at 453 A   0.111572
221261_x_at 27.5    A   0.533936
221035_s_at 55.7    A   0.828613
204892_x_at 33655.2 P   0.000244
212581_x_at 6570.1  P   0.010742
211983_x_at 9960.3  P   0.000732
212400_at   997.2   A   0.19458
217464_at   20.6    A   0.919434
212737_at   753.1   A   0.303711
213461_at   124.7   A   0.149658
214167_s_at 2293.7  P   0.001953
214096_s_at 918.9   A   0.303711
211298_s_at 22.8    A   0.665527
221864_at   1098.9  P   0.037598
212320_at   1823.2  P   0.001953
200716_x_at 7647.3  P   0.000244
200748_s_at 10150.4 P   0.000732
201257_x_at 20204.1 P   0.000244
201231_s_at 925.1   P   0.005859
207243_s_at 8645    P   0.001953
200651_at   5213    P   0.001221
216326_s_at 601.3   A   0.080566
216520_s_at 9486.7  P   0.000244
212955_s_at 455.9   A   0.246094
200933_x_at 10992   P   0.000244
208692_at   12138.6 P   0.000732
221989_at   438 A   0.19458
201590_x_at 2306.9  P   0.00293
201891_s_at 47719.2 P   0.000244
201251_at   391.9   A   0.432373
209118_s_at 6710.5  P   0.000244
209619_at   3679.2  P   0.000244
213738_s_at 1377.3  P   0.037598
200966_x_at 3997.6  P   0.001953
201426_s_at 4738.6  P   0.000732
221919_at   113.1   P   0.018555
213011_s_at 2932.9  M   0.056152
212191_x_at 8042.2  P   0.001953
217740_x_at 11734.5 P   0.000244
213414_s_at 8785.8  P   0.000732
209458_x_at 109919.9    P   0.000244
214359_s_at 524.5   A   0.129639
200773_x_at 4642    P   0.001953
215157_x_at 6209.2  P   0.000244
211969_at   1527.1  P   0.000244
209140_x_at 52815.7 P   0.000732
210338_s_at 2676    P   0.000732
201293_x_at 7358.4  P   0.000732
201429_s_at 27972.3 P   0.000732
208792_s_at 389.5   A   0.111572
213883_s_at 360.6   P   0.001221
204419_x_at 54464.3 P   0.000732
200804_at   1893.4  P   0.000244
212082_s_at 8228.7  P   0.000732
201530_x_at 3542.8  P   0.001953
200866_s_at 4384.1  P   0.001221
202310_s_at 216.9   A   0.366211
201030_x_at 1904    P   0.00293
200717_x_at 13008.3 P   0.000244
201471_s_at 1348.5  A   0.067627
216247_at   116.4   A   0.303711
201049_s_at 11352.3 P   0.000244
200936_at   4644.9  P   0.001953
200839_s_at 2948.5  P   0.001953
208905_at   567.2   P   0.000732
202403_s_at 333.8   A   0.219482
