#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
208021_s_at 335.5   A   0.27417
208121_s_at 497.2   P   0.01416
221259_s_at 81.1    A   0.72583
208146_s_at 62.2    A   0.696289
221033_s_at 537.5   M   0.056152
221261_x_at 56  A   0.601074
221035_s_at 141.6   A   0.696289
204892_x_at 41153.5 P   0.000244
212581_x_at 4489.4  A   0.067627
211983_x_at 7434.1  P   0.001953
212400_at   996.9   A   0.19458
217464_at   23  A   0.80542
212737_at   841 A   0.398926
213461_at   205.5   A   0.27417
214167_s_at 2210.4  P   0.010742
214096_s_at 913.3   A   0.5
211298_s_at 202.2   A   0.219482
221864_at   904.7   A   0.129639
212320_at   1232.5  P   0.001953
200716_x_at 7897.2  P   0.000244
200748_s_at 11850.9 P   0.000732
201257_x_at 24681   P   0.000244
201231_s_at 752.7   A   0.129639
207243_s_at 6138.5  P   0.001221
200651_at   4108.3  P   0.001953
216326_s_at 646 M   0.056152
216520_s_at 14768.5 P   0.000244
212955_s_at 333.6   A   0.398926
200933_x_at 13805.3 P   0.000244
208692_at   11758.1 P   0.000732
221989_at   149.7   A   0.466064
201590_x_at 1403.8  P   0.030273
201891_s_at 48086.4 P   0.000244
201251_at   241.6   A   0.601074
209118_s_at 3133.5  P   0.000244
209619_at   1340.9  P   0.030273
213738_s_at 1034.9  A   0.080566
200966_x_at 1307.5  A   0.067627
201426_s_at 2527.5  P   0.001221
221919_at   261 P   0.01416
213011_s_at 1499.5  A   0.080566
212191_x_at 7058    P   0.00293
217740_x_at 11554.2 P   0.000244
213414_s_at 7763.2  P   0.000732
209458_x_at 141881.4    P   0.000244
214359_s_at 471.3   A   0.067627
200773_x_at 3415.4  P   0.001953
215157_x_at 3741.5  P   0.000244
211969_at   1583.4  P   0.000244
209140_x_at 52424.8 P   0.001221
210338_s_at 1844.7  P   0.008057
201293_x_at 6075.8  P   0.001221
201429_s_at 35074.3 P   0.000244
208792_s_at 289.9   A   0.111572
213883_s_at 271.8   P   0.008057
204419_x_at 66753.8 P   0.000732
200804_at   1716    P   0.000732
212082_s_at 9422.8  P   0.000732
201530_x_at 1596.9  P   0.010742
200866_s_at 2427.7  P   0.005859
202310_s_at 288.4   A   0.334473
201030_x_at 1878.5  P   0.005859
200717_x_at 20212.4 P   0.000244
201471_s_at 1493.2  A   0.19458
216247_at   236.8   P   0.010742
201049_s_at 13078.6 P   0.000244
200936_at   5481.8  P   0.00293
200839_s_at 3666.3  P   0.001953
208905_at   706.7   P   0.00293
202403_s_at 448.5   A   0.219482
201665_x_at 9732.1  P   0.000732
217747_s_at 5884.8  P   0.000244
211429_s_at 5555.1  P   0.000732
201273_s_at 862.6   P   0.000732
218679_s_at 2129.5  P   0.046143
200817_x_at 21830.6 P   0.000244
215313_x_at 43146.6 P   0.000244
200869_at   9012.3  P   0.000244
202409_at   353.4   A   0.366211
204848_x_at 65615   P   0.001221
203807_x_at 25.7    A   0.943848
208668_x_at 4395.7  P   0.01416
201596_x_at 215.7   A   0.72583
208825_x_at 31732.9 P   0.000732
210949_s_at 1238.8  P   0.037598
200650_s_at 1321.1  P   0.001953
214157_at   996.7   P   0.008057
202493_x_at 20  A   0.850342
211999_at   4365.9  P   0.000732
221476_s_at 2530.9  P   0.00415
200912_s_at 2314.5  P   0.000244
200937_s_at 2171.1  P   0.00293
208703_s_at 491.2   A   0.171387
200763_s_at 18435.7 P   0.000244
200886_s_at 1638.5  P   0.010742
208849_at   329.8   P   0.046143
202028_s_at 3271.6  P   0.000732
208680_at   965.4   P   0.00415
201841_s_at 37  A   0.943848
200823_x_at 1735    P   0.005859
211161_s_at 158.3   A   0.334473
208977_x_at 467.8   A   0.129639
200962_at   913.1   P   0.030273
214665_s_at 799.3   P   0.030273
204805_s_at 492.2   A   0.129639
208894_at   540.3   A   0.246094
200679_x_at 213 P   0.037598
200858_s_at 4772.4  P   0.000244
203034_s_at 27581.2 P   0.000732
211509_s_at 1986.6  P   0.000244
200640_at   3272.1  P   0.001953
209008_x_at 305.8   A   0.334473
200910_at   695.3   M   0.056152
