#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
208152_s_at 494.8   P   0.030273
221029_s_at 46.9    A   0.994141
221272_s_at 98.4    A   0.633789
208609_s_at 51.8    A   0.870361
221228_s_at 52.4    A   0.904785
220978_at   153.4   A   0.334473
208151_x_at 102.7   A   0.665527
221270_s_at 260.7   A   0.696289
208021_s_at 114.2   A   0.567627
208121_s_at 329.9   A   0.129639
221259_s_at 60.9    A   0.888428
208146_s_at 31.5    A   0.888428
221033_s_at 614.3   A   0.111572
221261_x_at 70.6    A   0.665527
221035_s_at 209.9   A   0.696289
204892_x_at 9210.5  P   0.01416
212581_x_at 5332    P   0.046143
211983_x_at 5448.4  P   0.001953
212400_at   430.8   A   0.366211
217464_at   83.4    A   0.870361
212737_at   926.2   A   0.334473
213461_at   172 A   0.27417
214167_s_at 92.5    A   0.567627
214096_s_at 829.4   A   0.533936
211298_s_at 7.7 A   0.870361
221864_at   841.5   P   0.018555
212320_at   1008.7  P   0.005859
200716_x_at 3548    P   0.008057
200748_s_at 16702   P   0.000732
201257_x_at 10551.2 P   0.000244
201231_s_at 170.8   A   0.246094
207243_s_at 9503.4  P   0.001953
200651_at   1966    P   0.010742
216326_s_at 771.7   A   0.111572
216520_s_at 14313.3 P   0.000244
212955_s_at 745.1   A   0.303711
200933_x_at 5071.9  P   0.000244
208692_at   3508.5  P   0.01416
221989_at   230.1   A   0.567627
201590_x_at 648.5   A   0.129639
201891_s_at 48115   P   0.000244
201251_at   58.7    A   0.976074
209118_s_at 5270.1  P   0.000244
209619_at   1083.7  A   0.111572
213738_s_at 479.6   A   0.533936
200966_x_at 2236    A   0.067627
201426_s_at 2038.4  P   0.010742
221919_at   39.1    A   0.466064
213011_s_at 1953.7  A   0.149658
212191_x_at 2499.9  A   0.111572
217740_x_at 5435.3  P   0.000244
213414_s_at 1223.9  P   0.008057
209458_x_at 148760.2    P   0.000244
214359_s_at 138.4   A   0.533936
200773_x_at 1365.6  P   0.00415
215157_x_at 2145.4  P   0.000732
211969_at   755.1   P   0.00415
209140_x_at 54034.5 P   0.00293
210338_s_at 673.8   P   0.046143
201293_x_at 2025.8  P   0.018555
201429_s_at 13109.9 P   0.000732
208792_s_at 432.9   A   0.080566
213883_s_at 162.8   A   0.095215
204419_x_at 93870.7 P   0.000732
200804_at   2123.7  P   0.001953
212082_s_at 11283.3 P   0.000732
201530_x_at 1626.5  P   0.010742
200866_s_at 4458.9  P   0.001221
202310_s_at 408 A   0.432373
201030_x_at 542.3   A   0.149658
200717_x_at 16758   P   0.000244
201471_s_at 3090.2  M   0.056152
216247_at   203.1   A   0.067627
201049_s_at 2267.1  P   0.008057
200936_at   2689    P   0.008057
200839_s_at 9455.6  P   0.001953
208905_at   111.2   A   0.171387
202403_s_at 326.7   A   0.149658
201665_x_at 8238    P   0.000732
217747_s_at 4280.7  P   0.000732
211429_s_at 14796.3 P   0.000732
201273_s_at 528.9   P   0.00293
218679_s_at 2869.4  P   0.030273
200817_x_at 13466.4 P   0.000244
215313_x_at 43217   P   0.000244
200869_at   4546.7  P   0.000732
202409_at   187.9   A   0.533936
204848_x_at 97678.7 P   0.000732
203807_x_at 36.4    A   0.976074
208668_x_at 5510    P   0.010742
201596_x_at 175.4   A   0.780518
208825_x_at 14780.8 P   0.001953
210949_s_at 894.9   A   0.129639
